id,created,modified,name,date,active,room_x_size,room_y_size,center_point_x,center_point_y,introduction_video_type,introduction_questions
24,2023-10-14 12:57:43.83723+00,2023-10-14 13:01:01.831554+00,movement 8 6 V,2023-10-14 12:57:11.462,f,20,20,,,,
39,2023-10-14 13:18:53.138705+00,2023-10-14 13:22:56.246613+00,movement 2 9 V,2023-10-14 13:18:15.172,f,20,20,,,,
1,2023-09-20 14:15:09.902639+00,2023-10-02 13:41:11.537245+00,test experiment,2023-09-20 14:15:16.142,f,20,20,,,,
25,2023-10-14 12:57:48.48785+00,2023-10-14 13:01:58.56391+00,movement 8 7.5 V,2023-10-14 12:57:11.462,f,20,20,,,,
2,2023-10-02 13:41:02.111631+00,2023-10-14 12:16:17.574971+00,my experiment,2023-10-02 13:40:32.04,f,20,20,,,,
47,2023-10-14 13:33:16.70022+00,2023-10-14 13:34:14.602902+00,movement 6.5perp 3 V,2023-10-14 13:31:58.741,f,20,20,,,,
3,2023-10-14 12:16:16.129754+00,2023-10-14 12:20:17.976597+00,stationary 1,2023-10-14 12:15:55.296,f,20,20,,,,
26,2023-10-14 12:57:53.311917+00,2023-10-14 13:02:47.798988+00,movement 8 9 V,2023-10-14 12:57:11.462,f,20,20,,,,
4,2023-10-14 12:20:09.39274+00,2023-10-14 12:23:31.238095+00,stationary 1 real,2023-10-14 12:19:49.232,f,20,20,,,,
40,2023-10-14 13:18:56.833692+00,2023-10-14 13:23:37.377499+00,movement 2 12 V,2023-10-14 13:18:15.172,f,20,20,,,,
5,2023-10-14 12:24:26.705317+00,2023-10-14 12:26:17.67919+00,stationary 2,2023-10-14 12:24:07.042,f,20,20,,,,
27,2023-10-14 12:57:57.993716+00,2023-10-14 13:03:42.810018+00,movement 8 12 V,2023-10-14 12:57:11.462,f,20,20,,,,
6,2023-10-14 12:27:02.844124+00,2023-10-14 12:29:04.950622+00,stationary 3,2023-10-14 12:26:43.423,f,20,20,,,,
7,2023-10-14 12:29:30.44857+00,2023-10-14 12:29:30.448571+00,stationary 4,2023-10-14 12:29:01.477,f,20,20,,,,
8,2023-10-14 12:30:15.258+00,2023-10-14 12:31:14.443889+00,stationary 5,2023-10-14 12:29:55.057,f,20,20,,,,
9,2023-10-14 12:31:33.274146+00,2023-10-14 12:33:08.209921+00,stationary 6,2023-10-14 12:31:11.028,f,20,20,,,,
11,2023-10-14 12:43:46.434554+00,2023-10-14 12:44:22.703083+00,movement 5 4.5 V,2023-10-14 12:43:24.932,f,20,20,,,,
12,2023-10-14 12:45:10.48236+00,2023-10-14 12:45:36.232338+00,movement 5 6 V,2023-10-14 12:44:47.75,f,20,20,,,,
13,2023-10-14 12:46:35.978273+00,2023-10-14 12:47:05.107502+00,movement 5 7.5 V,2023-10-14 12:46:09.751,f,20,20,,,,
14,2023-10-14 12:47:36.483465+00,2023-10-14 12:48:00.162002+00,movement 5 9 V,2023-10-14 12:47:07.15,f,20,20,,,,
28,2023-10-14 13:08:57.238263+00,2023-10-14 13:10:07.566453+00,movement 9 3 V,2023-10-14 13:08:36.538,f,20,20,,,,
15,2023-10-14 12:48:32.363875+00,2023-10-14 12:49:06.952686+00,movement 5 12 V,2023-10-14 12:48:02.362,f,20,20,,,,
16,2023-10-14 12:50:04.779639+00,2023-10-14 12:50:50.613955+00,movement 1 3 V,2023-10-14 12:49:44.297,f,20,20,,,,
17,2023-10-14 12:51:11.354343+00,2023-10-14 12:51:43.301068+00,movement 1 4.5 V,2023-10-14 12:50:51.189,f,20,20,,,,
34,2023-10-14 13:11:23.836745+00,2023-10-14 13:12:00.639457+00,movement 9 3 V real,2023-10-14 13:10:53.978,f,20,20,,,,
