degree,interaction,aic,bic,mad,day
1,TRUE,-481541.118577973,-7.65629092854122,0.000393951515010363,14-10-2023
1,FALSE,-481541.118577973,-7.65629092854121,0.000393951515010363,14-10-2023
2,TRUE,-484623.442449921,-7.70444048343365,0.00040745837563725,14-10-2023
2,FALSE,-484372.659028299,-7.7007404897889,0.000398160810822563,14-10-2023
3,TRUE,-507773.53370995,-8.07140553837045,0.000346583127205714,14-10-2023
3,FALSE,-493533.148125542,-7.8458284661065,0.000370080403042584,14-10-2023
4,TRUE,-513287.798331747,-8.15765050585776,0.000375410887295373,14-10-2023
4,FALSE,-494148.203916066,-7.85503307347106,0.000385638829074081,14-10-2023
5,TRUE,-542453.877476975,-8.61970192771062,0.000327604528788169,14-10-2023
5,FALSE,-505230.454431991,-8.03067952547052,0.00039025593723661,14-10-2023
6,TRUE,-553708.033109142,-8.79664296706837,0.000391824705434395,14-10-2023
6,FALSE,-506103.785709211,-8.04399104491205,0.00040584073217118,14-10-2023
7,TRUE,-581877.372490006,-9.24226937608975,0.000525070516830715,14-10-2023
7,FALSE,-533133.27632491,-8.47321910389177,0.000309245485444316,14-10-2023
8,TRUE,-599345.748792985,-9.51744893834901,0.000724559312784309,14-10-2023
8,FALSE,-534264.500016306,-8.49063144406501,0.000324418326418333,14-10-2023
9,TRUE,-636231.411306672,-10.1011005141787,0.00166372885878082,14-10-2023
9,FALSE,-553117.694920297,-8.78984589612913,0.000263136999080798,14-10-2023
10,TRUE,-648143.301662,-10.2873492408217,0.00264647879043339,14-10-2023
10,FALSE,-554012.977348259,-8.8035064670708,0.000271474521810518,14-10-2023
11,TRUE,-660159.638614502,-10.4749710175838,0.00640725710158627,14-10-2023
11,FALSE,-555843.466447234,-8.8320380256574,0.000280656723975379,14-10-2023
12,TRUE,-670695.349857621,-10.6387611582519,0.0124392902024854,14-10-2023
12,FALSE,-556417.235851126,-8.84058612642876,0.000310997876400863,14-10-2023
13,TRUE,-685008.666037567,-10.8623322860008,0.0912906499344616,14-10-2023
13,FALSE,-571980.273764709,-9.08748285507336,0.0002786957662785,14-10-2023
14,TRUE,-701716.201177459,-11.1236867863908,0.0259323833428955,14-10-2023
14,FALSE,-573529.351573446,-9.11153961258124,0.000299204756909112,14-10-2023
15,TRUE,-604997.519765103,-9.5811309259244,0.0808698549810152,14-10-2023
15,FALSE,-585845.678776178,-9.30680946947205,0.000256086301122768,14-10-2023
1,TRUE,-206028.921597619,-7.63149575951548,0.00055864334443871,21-10-2023
1,FALSE,-206028.921597619,-7.63149575951548,0.00055864334443871,21-10-2023
2,TRUE,-207798.768214398,-7.69524393721334,0.000579333031054265,21-10-2023
2,FALSE,-206875.845333902,-7.66165806181102,0.000576737591363583,21-10-2023
3,TRUE,-217352.379160692,-8.04676795915566,0.000503181993383923,21-10-2023
3,FALSE,-210277.403473113,-7.78646800231662,0.000549416773481319,21-10-2023
4,TRUE,-219945.896664606,-8.13981693534599,0.000624612843866625,21-10-2023
4,FALSE,-211194.412221227,-7.81922691132663,0.000578809100454067,21-10-2023
5,TRUE,-228366.058729505,-8.44813166839871,0.000555284623425378,21-10-2023
5,FALSE,-214724.776652801,-7.94880904598447,0.000538995621539402,21-10-2023
6,TRUE,-232190.727417813,-8.58557833824135,0.000906850371169607,21-10-2023
6,FALSE,-215552.414297982,-7.97825681043027,0.000572061650229735,21-10-2023
7,TRUE,-246802.552428165,-9.12207468406975,0.000677688849308548,21-10-2023
7,FALSE,-229640.55644373,-8.49899813571364,0.000355993760983055,21-10-2023
8,TRUE,-252370.165019635,-9.32288065398048,0.00160548152523989,21-10-2023
8,FALSE,-229721.199179351,-8.50077019679316,0.000390961166672408,21-10-2023
9,TRUE,-267298.060516852,-9.86987151471536,0.00207193941333551,21-10-2023
9,FALSE,-236198.503005082,-8.73953462903747,0.000319538365660976,21-10-2023
10,TRUE,-276078.747004918,-10.1885041995152,0.00406807103177428,21-10-2023
10,FALSE,-236954.248921691,-8.76631884902136,0.000339993866759055,21-10-2023
11,TRUE,-293371.160832201,-10.8218833117058,0.00879806149360983,21-10-2023
11,FALSE,-237297.28442934,-8.77781240141381,0.000368576830194315,21-10-2023
12,TRUE,-297228.329618336,-10.9568869817617,0.0369472760975287,21-10-2023
12,FALSE,-238498.846078991,-8.82111382094722,0.000415369428514392,21-10-2023
13,TRUE,-302170.277263889,-11.131473191994,0.0610326203206432,21-10-2023
13,FALSE,-245620.240506874,-9.08374141506596,0.000390936748344863,21-10-2023
14,TRUE,,,,21-10-2023
14,FALSE,-246231.392813421,-9.10516853045713,0.000425099594241841,21-10-2023
15,TRUE,,,,21-10-2023
15,FALSE,-247484.916034947,-9.15039509436738,0.000510165041546344,21-10-2023
1,TRUE,-1611032.64701984,-7.09136013007962,0.000730335169328859,22-12-2023
1,FALSE,-1611032.64701984,-7.09136013007962,0.00073033516932886,22-12-2023
2,TRUE,-1622123.00864124,-7.13990600589402,0.000781780021259955,22-12-2023
2,FALSE,-1621078.59712555,-7.1353995721796,0.000753085601579438,22-12-2023
3,TRUE,-1656637.86522483,-7.29147347757394,0.000753680996174743,22-12-2023
3,FALSE,-1637137.27300516,-7.20590650516275,0.000700731032164482,22-12-2023
4,TRUE,-1666034.75447881,-7.33238288859258,0.000900649123862659,22-12-2023
4,FALSE,-1640356.87134486,-7.21989694620623,0.00073048044198646,22-12-2023
5,TRUE,-1743450.46272447,-7.67261419405618,0.00090155089070565,22-12-2023
5,FALSE,-1681070.05347408,-7.39893085080416,0.000738749299689037,22-12-2023
6,TRUE,-1772404.80595096,-7.79943185199755,0.00109166815682738,22-12-2023
6,FALSE,-1686578.22380905,-7.42299538481279,0.00078279475913699,22-12-2023
7,TRUE,-1832518.62923753,-8.06331983100132,0.00113341593750784,22-12-2023
7,FALSE,-1730616.93069695,-7.61666795738629,0.000690422217624584,22-12-2023
8,TRUE,-1858956.74528978,-8.1788793297329,0.00140487410503134,22-12-2023
8,FALSE,-1740242.73698213,-7.65885796328085,0.000725597636550533,22-12-2023
9,TRUE,-1906296.87174005,-8.38635666877617,0.00140403451006277,22-12-2023
