experiment,tag,bin_size,Hz,day
stationary 2,1,0.272994819082744,3.66307317977672,14-10-2023
stationary 2,2,0.277379946847075,3.60516328367212,14-10-2023
stationary 2,3,0.274895833805203,3.63774156253172,14-10-2023
stationary 2,4,0.275522193460489,3.62947168589307,14-10-2023
stationary 2,5,0.264811557741021,3.77627022223091,14-10-2023
stationary 2,6,0.277115485173824,3.60860382584806,14-10-2023
stationary 2,7,0.273067357626604,3.66210010852859,14-10-2023
stationary 2,8,0.273103626898533,3.66161376674625,14-10-2023
stationary 2,9,0.275091384160612,3.6351556521892,14-10-2023
stationary 2,10,0.492070093333164,2.03223080115729,14-10-2023
stationary 2,11,0.273179220843625,3.66060052778475,14-10-2023
stationary 2,17,0.282594086021505,3.53864447086801,14-10-2023
stationary 2,18,0.272795865702075,3.66574470410823,14-10-2023
stationary 2,19,0.282257372828016,3.54286582483469,14-10-2023
stationary 2,20,0.284991869758461,3.50887202798988,14-10-2023
stationary 2,26,0.272444444109303,3.67047308771254,14-10-2023
stationary 2,27,0.279795212948576,3.57404256299336,14-10-2023
stationary 2,28,0.275869109867755,3.62490748050543,14-10-2023
stationary 2,29,0.284829268287514,3.51087514991814,14-10-2023
stationary 2,35,0.271708763137306,3.68041129205191,14-10-2023
stationary 2,36,0.269450127926019,3.71126192329945,14-10-2023
stationary 2,37,0.269022959227465,3.71715485872148,14-10-2023
stationary 2,38,0.272038659484116,3.67594812405105,14-10-2023
stationary 2,44,0.273316883111929,3.65875678302126,14-10-2023
stationary 2,45,0.27540314135127,3.63104064497406,14-10-2023
stationary 2,46,0.275426701101333,3.63073004905246,14-10-2023
stationary 2,47,0.274290909085955,3.64576428483318,14-10-2023
stationary 2,53,0.273628571745637,3.65458911553137,14-10-2023
stationary 2,54,0.276041884696921,3.62263864810932,14-10-2023
stationary 2,55,0.270871465187759,3.69178790872945,14-10-2023
stationary 2,56,0.271451030809855,3.6839057012109,14-10-2023
stationary 2,62,0.274150648984042,3.64762951941146,14-10-2023
stationary 2,63,0.272886010649291,3.66453376492497,14-10-2023
stationary 2,64,0.268846938804704,3.71958856755449,14-10-2023
stationary 2,65,0.275701570261211,3.62711028106426,14-10-2023
stationary 2,71,0.271172236660759,3.68769315146011,14-10-2023
stationary 2,72,0.273615584435401,3.65476258256077,14-10-2023
stationary 2,73,0.272291989905582,3.67252815753689,14-10-2023
stationary 2,74,0.272700258003649,3.66702990059738,14-10-2023
stationary 2,80,0.272743523429712,3.66644819801819,14-10-2023
stationary 2,81,0.276480314925587,3.61689402831136,14-10-2023
stationary 2,82,0.274785900240467,3.63919691339655,14-10-2023
stationary 2,83,0.274710182732764,3.64019997384951,14-10-2023
stationary 2,89,0.270945876529536,3.69077401290877,14-10-2023
stationary 2,90,0.267416243625776,3.73948862059182,14-10-2023
stationary 2,91,0.280103723419474,3.57010605854187,14-10-2023
stationary 2,92,0.291480555136998,3.4307605854874,14-10-2023
stationary 2,93,0.272126614893438,3.67476000240399,14-10-2023
stationary 2,94,0.266956742483241,3.74592524128803,14-10-2023
stationary 2,95,0.269887468089228,3.70524799495095,14-10-2023
stationary 2,96,0.279169312229863,3.58205560637201,14-10-2023
stationary 2,97,0.275005221678134,3.63629459069108,14-10-2023
stationary 2,98,0.273020725176124,3.6627256020762,14-10-2023
stationary 2,99,0.276624672056183,3.61500654503044,14-10-2023
stationary 3,1,0.271284722067692,3.68616408759826,14-10-2023
stationary 3,2,0.277869668617068,3.59880948855235,14-10-2023
stationary 3,3,0.271027777481962,3.68965871059675,14-10-2023
stationary 3,4,0.271363425585959,3.68509498964603,14-10-2023
stationary 3,5,0.271913953160131,3.67763400288288,14-10-2023
stationary 3,6,0.2759788238301,3.62346641717565,14-10-2023
stationary 3,7,0.273974298873794,3.64997740339377,14-10-2023
stationary 3,8,0.271900232319489,3.67781958650546,14-10-2023
stationary 3,9,0.276535377749857,3.61617384414576,14-10-2023
stationary 3,10,0.489464434619728,2.04304936021943,14-10-2023
stationary 3,11,0.277883886161009,3.59862536045213,14-10-2023
stationary 3,16,0.27077367179113,3.6931212454488,14-10-2023
stationary 3,18,0.269259174482538,3.71389387909177,14-10-2023
stationary 3,19,0.283861650425254,3.52284290076486,14-10-2023
stationary 3,20,0.272706294115329,3.66694873414654,14-10-2023
stationary 3,25,0.272190255521345,3.67390080914039,14-10-2023
stationary 3,27,0.277111110957802,3.60866078788259,14-10-2023
stationary 3,28,0.275464788848805,3.63022803814273,14-10-2023
stationary 3,29,0.27179118320173,3.67929521561329,14-10-2023
stationary 3,34,0.27205336398149,3.67574943887861,14-10-2023
stationary 3,36,0.271511574034338,3.68308424256541,14-10-2023
stationary 3,37,0.271812065018302,3.67901255572547,14-10-2023
stationary 3,38,0.281282973804062,3.55513875040509,14-10-2023
stationary 3,43,0.278165876582901,3.59497725703956,14-10-2023
stationary 3,45,0.278854762372516,3.58609618674585,14-10-2023
stationary 3,46,0.272453488305558,3.67035124497469,14-10-2023
stationary 3,47,0.269694252671867,3.70790252329436,14-10-2023
stationary 3,52,0.274030373475262,3.64923051163259,14-10-2023
stationary 3,54,0.276418439603585,3.61770365766522,14-10-2023
stationary 3,55,0.274906323162677,3.63760276044376,14-10-2023
stationary 3,56,0.268018264748734,3.73108900222712,14-10-2023
stationary 3,61,0.273617716102333,3.65473410949019,14-10-2023
stationary 3,63,0.274042055985638,3.64907494363715,14-10-2023
stationary 3,64,0.270856813250183,3.69198761515491,14-10-2023
stationary 3,65,0.278586698541166,3.58954682774359,14-10-2023
stationary 3,70,0.306010444232752,3.26786231923313,14-10-2023
stationary 3,72,0.266543181917884,3.75173730877152,14-10-2023
stationary 3,73,0.270787037081189,3.69293896332333,14-10-2023
stationary 3,74,0.271784722253128,3.67938268093173,14-10-2023
stationary 3,79,0.271287037266625,3.68613262939351,14-10-2023
stationary 3,81,0.26941055059433,3.71180712037432,14-10-2023
